Date,Single,Dozen,HalfDozen
11/9/2013,$195.16 ,$147.50 ,$49.20 
11/10/2013,$0.00 ,$0.00 ,$0.00 
11/11/2013,$195.16 ,$73.75 ,$16.40 
11/12/2013,$168.92 ,$44.25 ,$8.20 
11/13/2013,$119.72 ,$0.00 ,$16.40 
11/14/2013,$132.84 ,$14.75 ,$16.40 
11/15/2013,$200.08 ,$88.50 ,$16.40 
11/16/2013,$226.32 ,$59.00 ,$41.00 
11/17/2013,$0.00 ,$0.00 ,$0.00 
11/18/2013,$142.68 ,$29.50 ,$32.80 
11/19/2013,$142.68 ,$0.00 ,$32.80 
11/20/2013,$160.72 ,$0.00 ,$24.60 
11/21/2013,$114.80 ,$14.75 ,$16.40 
11/22/2013,$178.76 ,$44.25 ,$32.80 
11/23/2013,$160.72 ,$103.25 ,$49.20 
11/24/2013,$0.00 ,$0.00 ,$0.00 
11/25/2013,$127.92 ,$29.50 ,$41.00 
11/26/2013,$139.40 ,$59.00 ,$32.80 
11/27/2013,$114.80 ,$59.00 ,$16.40 
11/28/2013,$0.00 ,$0.00 ,$0.00 
11/29/2013,$108.24 ,$59.00 ,$0.00 
11/30/2013,$139.40 ,$147.50 ,$49.20 
12/1/2013,$0.00 ,$0.00 ,$0.00 
12/2/2013,$129.56 ,$44.25 ,$8.20 
12/3/2013,$131.20 ,$73.75 ,$16.40 
12/4/2013,$149.24 ,$44.25 ,$49.20 
12/5/2013,$103.32 ,$14.75 ,$32.80 
12/6/2013,$123.00 ,$88.50 ,$8.20 
12/7/2013,$180.40 ,$73.75 ,$57.40 
12/8/2013,$0.00 ,$0.00 ,$0.00 
12/9/2013,$108.24 ,$44.25 ,$8.20 
12/10/2013,$149.24 ,$59.00 ,$49.20 
12/11/2013,$93.48 ,$59.00 ,$8.20 
12/12/2013,$118.08 ,$59.00 ,$0.00 
12/13/2013,$123.00 ,$59.00 ,$16.40 
12/14/2013,$152.52 ,$59.00 ,$41.00 
12/15/2013,$0.00 ,$0.00 ,$0.00 
12/16/2013,$129.56 ,$44.25 ,$32.80 
12/17/2013,$109.88 ,$59.00 ,$8.20 
12/18/2013,$83.64 ,$44.25 ,$32.80 
12/19/2013,$106.60 ,$73.75 ,$49.20 
12/20/2013,$95.12 ,$29.50 ,$16.40 
12/21/2013,$21.32 ,$0.00 ,$0.00 
12/22/2013,$0.00 ,$0.00 ,$0.00 
12/23/2013,$78.72 ,$88.50 ,$32.80 
12/24/2013,$72.16 ,$118.00 ,$8.20 
12/25/2013,$0.00 ,$0.00 ,$0.00 
12/26/2013,$0.00 ,$0.00 ,$0.00 
12/27/2013,$101.68 ,$44.25 ,$0.00 
12/28/2013,$59.04 ,$29.50 ,$16.40 
12/29/2013,$0.00 ,$0.00 ,$0.00 
12/30/2013,$0.00 ,$0.00 ,$0.00 
12/31/2013,$95.12 ,$44.25 ,$8.20 
1/1/2014,$29.50 ,$68.88 ,$41.00 
1/2/2014,$59.00 ,$139.40 ,$49.20 
1/3/2014,$29.50 ,$54.12 ,$16.40 
1/4/2014,$59.00 ,$101.68 ,$8.20 
1/5/2014,$0.00 ,$0.00 ,$0.00 
1/6/2014,$29.50 ,$85.28 ,$8.20 
1/7/2014,$29.50 ,$60.68 ,$16.40 
1/8/2014,$29.50 ,$55.76 ,$8.20 
1/9/2014,$29.50 ,$114.80 ,$16.40 
1/10/2014,$14.75 ,$137.76 ,$8.20 
1/11/2014,$59.00 ,$152.52 ,$16.40 
1/12/2014,$0.00 ,$0.00 ,$0.00 
1/13/2014,$14.75 ,$90.20 ,$16.40 
1/14/2014,$29.50 ,$96.76 ,$32.80 
1/15/2014,$59.00 ,$126.28 ,$8.20 
1/16/2014,$14.75 ,$144.32 ,$41.00 
1/17/2014,$0.00 ,$131.20 ,$24.60 
1/18/2014,$103.25 ,$175.48 ,$41.00 
1/19/2014,$0.00 ,$0.00 ,$0.00 
1/20/2014,$14.75 ,$201.72 ,$32.80 
1/21/2014,$29.50 ,$121.36 ,$49.20 
1/22/2014,$103.25 ,$121.36 ,$16.40 
1/23/2014,$44.25 ,$106.60 ,$8.20 
1/24/2014,$44.25 ,$182.04 ,$8.20 
1/25/2014,$59.00 ,$123.00 ,$16.40 
1/26/2014,$0.00 ,$0.00 ,$0.00 
1/27/2014,$14.75 ,$124.64 ,$16.40 
1/28/2014,$29.50 ,$137.76 ,$16.40 
1/29/2014,$14.75 ,$155.80 ,$8.20 
1/30/2014,$73.75 ,$132.84 ,$8.20 
1/31/2014,$59.00 ,$175.48 ,$24.60 
2/1/2014,$44.25 ,$170.56 ,$57.40 
2/2/2014,$0.00 ,$0.00 ,$0.00 
2/3/2014,$14.75 ,$134.48 ,$0.00 
2/4/2014,$14.75 ,$142.68 ,$0.00 
2/5/2014,$44.25 ,$145.96 ,$8.20 
2/6/2014,$29.50 ,$114.80 ,$0.00 
2/7/2014,$132.75 ,$168.92 ,$8.20 
2/8/2014,$44.25 ,$234.52 ,$49.20 
2/9/2014,$0.00 ,$0.00 ,$0.00 
2/10/2014,$29.50 ,$139.40 ,$8.20 
2/11/2014,$29.50 ,$126.28 ,$8.20 
2/12/2014,$44.25 ,$124.64 ,$8.20 
2/13/2014,$73.75 ,$60.68 ,$0.00 
2/14/2014,$132.75 ,$144.32 ,$8.20 
2/15/2014,$73.75 ,$132.84 ,$16.40 
2/16/2014,$0.00 ,$0.00 ,$0.00 
2/17/2014,$44.25 ,$150.88 ,$24.60 
2/18/2014,$44.25 ,$116.44 ,$8.20 
2/19/2014,$0.00 ,$90.20 ,$32.80 
2/20/2014,$14.75 ,$147.60 ,$16.40 
2/21/2014,$73.75 ,$213.20 ,$32.80 
2/22/2014,$44.25 ,$209.92 ,$41.00 
2/23/2014,$0.00 ,$0.00 ,$0.00 
2/24/2014,$44.25 ,$123.00 ,$16.40 
2/25/2014,$59.00 ,$119.72 ,$16.40 
2/26/2014,$29.50 ,$170.56 ,$8.20 
2/27/2014,$59.00 ,$103.32 ,$32.80 
2/28/2014,$44.25 ,$196.80 ,$8.20 
3/1/2014,$73.75 ,$168.92 ,$65.60 
3/2/2014,$0.00 ,$0.00 ,$0.00 
3/3/2014,$73.75 ,$121.36 ,$41.00 
3/4/2014,$59.00 ,$136.12 ,$41.00 
3/5/2014,$29.50 ,$150.88 ,$41.00 
3/6/2014,$44.25 ,$149.24 ,$16.40 
3/7/2014,$44.25 ,$144.32 ,$32.80 
3/8/2014,$59.00 ,$142.68 ,$16.40 
3/9/2014,$0.00 ,$0.00 ,$0.00 
3/10/2014,$0.00 ,$123.00 ,$24.60 
3/11/2014,$0.00 ,$95.12 ,$8.20 
3/12/2014,$88.50 ,$132.84 ,$16.40 
3/13/2014,$14.75 ,$82.00 ,$24.60 
3/14/2014,$73.75 ,$127.92 ,$16.40 
3/15/2014,$29.50 ,$118.08 ,$0.00 
3/16/2014,$0.00 ,$0.00 ,$0.00 
3/17/2014,$0.00 ,$162.36 ,$8.20 
3/18/2014,$29.50 ,$98.40 ,$8.20 
3/19/2014,$14.75 ,$101.68 ,$24.60 
3/20/2014,$0.00 ,$127.92 ,$0.00 
3/21/2014,$44.25 ,$164.00 ,$16.40 
3/22/2014,$59.00 ,$175.48 ,$41.00 
3/23/2014,$0.00 ,$0.00 ,$0.00 
3/24/2014,$29.50 ,$149.24 ,$24.60 
3/25/2014,$14.75 ,$83.64 ,$24.60 
3/26/2014,$44.25 ,$150.88 ,$32.80 
3/27/2014,$118.00 ,$104.96 ,$8.20 
3/28/2014,$29.50 ,$131.20 ,$41.00 
3/29/2014,$59.00 ,$168.92 ,$32.80 
3/30/2014,$0.00 ,$0.00 ,$0.00 
3/31/2014,$73.75 ,$93.48 ,$32.80 
4/1/2014,$73.75 ,$96.76 ,$0.00 
4/2/2014,$29.50 ,$165.64 ,$0.00 
4/3/2014,$14.75 ,$134.48 ,$0.00 
4/4/2014,$44.25 ,$159.08 ,$16.40 
4/5/2014,$29.50 ,$185.32 ,$8.20 
4/6/2014,$0.00 ,$0.00 ,$0.00 
4/7/2014,$44.25 ,$152.52 ,$32.80 
4/8/2014,$29.50 ,$109.88 ,$16.40 
4/9/2014,$59.00 ,$152.52 ,$16.40 
4/10/2014,$44.25 ,$83.64 ,$16.40 
4/11/2014,$147.50 ,$165.64 ,$32.80 
4/12/2014,$44.25 ,$200.08 ,$41.00 
4/13/2014,$0.00 ,$0.00 ,$0.00 
4/14/2014,$29.50 ,$168.92 ,$16.40 
4/15/2014,$59.00 ,$137.76 ,$8.20 
4/16/2014,$44.25 ,$155.80 ,$16.40 
4/17/2014,$118.00 ,$136.12 ,$49.20 
4/18/2014,$59.00 ,$205.00 ,$16.40 
4/19/2014,$88.50 ,$201.72 ,$65.60 
4/20/2014,$0.00 ,$0.00 ,$0.00 
4/21/2014,$14.75 ,$65.60 ,$16.40 
4/22/2014,$14.75 ,$85.28 ,$16.40 
4/23/2014,$59.00 ,$137.76 ,$0.00 
4/24/2014,$0.00 ,$123.00 ,$0.00 
4/25/2014,$44.25 ,$177.12 ,$8.20 
4/26/2014,$44.25 ,$214.84 ,$32.80 
4/27/2014,$0.00 ,$0.00 ,$0.00 
4/28/2014,$0.00 ,$98.40 ,$16.40 
4/29/2014,$59.00 ,$108.24 ,$8.20 
4/30/2014,$29.50 ,$139.40 ,$41.00 
5/1/2014,$73.75 ,$121.36 ,$16.40 
5/2/2014,$103.25 ,$147.60 ,$8.20 
5/3/2014,$73.75 ,$195.16 ,$98.40 
5/4/2014,$0.00 ,$0.00 ,$0.00 
5/5/2014,$29.50 ,$109.88 ,$16.40 
5/6/2014,$44.25 ,$104.96 ,$16.40 
5/7/2014,$88.50 ,$109.88 ,$32.80 
5/8/2014,$44.25 ,$98.40 ,$16.40 
5/9/2014,$44.25 ,$164.00 ,$8.20 
5/10/2014,$177.00 ,$255.84 ,$41.00 
5/11/2014,$0.00 ,$0.00 ,$0.00 
5/12/2014,$59.00 ,$96.76 ,$8.20 
5/13/2014,$29.50 ,$104.96 ,$0.00 
5/14/2014,$73.75 ,$113.16 ,$0.00 
5/15/2014,$44.25 ,$124.64 ,$41.00 
5/16/2014,$29.50 ,$91.84 ,$24.60 
5/17/2014,$44.25 ,$131.20 ,$16.40 
5/18/2014,$0.00 ,$0.00 ,$0.00 
5/19/2014,$0.00 ,$0.00 ,$0.00 
5/20/2014,$73.75 ,$86.92 ,$24.60 
5/21/2014,$103.25 ,$103.32 ,$41.00 
5/22/2014,$59.00 ,$152.52 ,$16.40 
5/23/2014,$29.50 ,$75.44 ,$16.40 
5/24/2014,$44.25 ,$183.68 ,$0.00 
5/25/2014,$0.00 ,$0.00 ,$0.00 
5/26/2014,$14.75 ,$129.56 ,$16.40 
5/27/2014,$0.00 ,$72.16 ,$8.20 
5/28/2014,$0.00 ,$77.08 ,$8.20 
5/29/2014,$14.75 ,$101.68 ,$16.40 
5/30/2014,$73.75 ,$101.68 ,$16.40 
5/31/2014,$59.00 ,$167.28 ,$16.40 
6/1/2014,$0.00 ,$0.00 ,$0.00 
6/2/2014,$29.50 ,$109.88 ,$16.40 
6/3/2014,$29.50 ,$73.80 ,$32.80 
6/4/2014,$0.00 ,$55.76 ,$16.40 
6/5/2014,$44.25 ,$137.76 ,$16.40 
6/6/2014,$103.25 ,$191.88 ,$16.40 
6/7/2014,$88.50 ,$190.24 ,$32.80 
6/8/2014,$0.00 ,$0.00 ,$0.00 
6/9/2014,$73.75 ,$106.60 ,$16.40 
6/10/2014,$29.50 ,$118.08 ,$8.20 
6/11/2014,$29.50 ,$98.40 ,$32.80 
6/12/2014,$59.00 ,$124.64 ,$24.60 
6/13/2014,$88.50 ,$147.60 ,$8.20 
6/14/2014,$88.50 ,$139.40 ,$16.40 
6/15/2014,$0.00 ,$0.00 ,$0.00 
6/16/2014,$29.50 ,$93.48 ,$8.20 
6/17/2014,$44.25 ,$139.40 ,$16.40 
6/18/2014,$14.75 ,$78.72 ,$24.60 
6/19/2014,$29.50 ,$121.36 ,$8.20 
6/20/2014,$73.75 ,$108.24 ,$16.40 
6/21/2014,$132.75 ,$126.28 ,$32.80 
6/22/2014,$0.00 ,$0.00 ,$0.00 
6/23/2014,$44.25 ,$108.24 ,$0.00 
6/24/2014,$59.00 ,$145.96 ,$16.40 
6/25/2014,$59.00 ,$121.36 ,$16.40 
6/26/2014,$103.25 ,$123.00 ,$0.00 
6/27/2014,$59.00 ,$127.92 ,$16.40 
6/28/2014,$29.50 ,$183.68 ,$24.60 
6/29/2014,$0.00 ,$0.00 ,$0.00 
6/30/2014,$73.75 ,$106.60 ,$8.20 
7/1/2014,$14.75 ,$103.32 ,$41.00 
7/2/2014,$59.00 ,$113.16 ,$0.00 
7/3/2014,$103.25 ,$150.88 ,$24.60 
7/4/2014,$73.75 ,$101.68 ,$16.40 
7/5/2014,$103.25 ,$200.08 ,$98.40 
7/6/2014,$0.00 ,$0.00 ,$0.00 
7/7/2014,$59.00 ,$114.80 ,$16.40 
7/8/2014,$14.75 ,$127.92 ,$32.80 
7/9/2014,$59.00 ,$113.16 ,$32.80 
7/10/2014,$59.00 ,$175.48 ,$32.80 
7/11/2014,$73.75 ,$149.24 ,$32.80 
7/12/2014,$59.00 ,$165.64 ,$24.60 
7/13/2014,$0.00 ,$0.00 ,$0.00 
7/14/2014,$59.00 ,$141.04 ,$24.60 
7/15/2014,$59.00 ,$165.64 ,$0.00 
7/16/2014,$29.50 ,$173.84 ,$32.80 
7/17/2014,$177.00 ,$177.12 ,$16.40 
7/18/2014,$59.00 ,$195.16 ,$8.20 
7/19/2014,$88.50 ,$198.44 ,$57.40 
7/20/2014,$0.00 ,$0.00 ,$0.00 
7/21/2014,$44.25 ,$160.72 ,$8.20 
7/22/2014,$14.75 ,$108.24 ,$24.60 
7/23/2014,$73.75 ,$152.52 ,$24.60 
7/24/2014,$162.25 ,$183.68 ,$8.20 
7/25/2014,$59.00 ,$172.20 ,$41.00 
7/26/2014,$118.00 ,$246.00 ,$32.80 
7/27/2014,$0.00 ,$0.00 ,$0.00 
7/28/2014,$14.75 ,$111.52 ,$32.80 
